Termin;Fast Ydelse;Rente pr. termin;Afdrag;Ultimo restgæld
1;243606,85;80275,78;163331,06;9836668,94
2;243606,85;78964,63;164642,22;9672026,72
3;243606,85;77642,95;165963,9;9506062,82
4;243606,85;76310,66;167296,18;9338766,64
5;243606,85;74967,68;168639,17;9170127,47
6;243606,85;73613,91;169992,93;9000134,54
7;243606,85;72249,28;171357,56;8828776,98
8;243606,85;70873,7;172733,15;8656043,83
9;243606,85;69487,07;174119,78;8481924,05
10;243606,85;68089,31;175517,54;8306406,51
11;243606,85;66680,33;176926,52;8129479,99
12;243606,85;65260,03;178346,81;7951133,18
13;243606,85;63828,34;179778,5;7771354,68
14;243606,85;62385,16;181221,69;7590132,99
15;243606,85;60930,38;182676,46;7407456,53
16;243606,85;59463,94;184142,91;7223313,62
17;243606,85;57985,71;185621,13;7037692,49
18;243606,85;56495,63;187111,22;6850581,27
19;243606,85;54993,58;188613,27;6661968
20;243606,85;53479,47;190127,38;6471840,62
21;243606,85;51953,21;191653,64;6280186,98
22;243606,85;50414,69;193192,15;6086994,83
23;243606,85;48863,83;194743,02;5892251,81
24;243606,85;47300,51;196306,33;5695945,47
25;243606,85;45724,65;197882,2;5498063,27
26;243606,85;44136,13;199470,71;5298592,56
27;243606,85;42534,87;201071,98;5097520,58
28;243606,85;40920,74;202686,1;4894834,48
29;243606,85;39293,67;204313,18;4690521,3
30;243606,85;37653,53;205953,32;4484567,98
31;243606,85;36000,22;207606,63;4276961,36
32;243606,85;34333,64;209273,2;4067688,15
33;243606,85;32653,68;210953,16;3856734,99
34;243606,85;30960,24;212646,6;3644088,39
35;243606,85;29253,2;214353,64;3429734,74
36;243606,85;27532,46;216074,38;3213660,36
37;243606,85;25797,91;217808,94;2995851,43
38;243606,85;24049,43;219557,41;2776294,01
39;243606,85;22286,92;221319,93;2554974,08
40;243606,85;20510,25;223096,59;2331877,49
41;243606,85;18719,33;224887,52;2106989,98
42;243606,85;16914,03;226692,82;1880297,16
43;243606,85;15094,23;228512,61;1651784,54
44;243606,85;13259,83;230347,02;1421437,53
45;243606,85;11410,7;232196,14;1189241,38
46;243606,85;9546,73;234060,12;955181,27
47;243606,85;7667,79;235939,05;719242,21
48;243606,85;5773,77;237833,07;481409,14
49;243606,85;3864,55;239742,3;241666,85
50;243606,85;1940;241666,85;0
